productId,area,price,floors,bedroom,toilet,facade,furniture,status_doc,district_name,ggmap_e,ggmap_n,product_link,district_id,market,hospital,elevator
37639517,120.0,17500.0,,4.0,6.0,,0,0,binh-chanh,106.689018249512,10.7300539016724,https://batdongsan.com.vn/ban-nha-rieng-duong-so-5-xa-binh-hung-1-prj-khu-dan-cu-trung-son/ban-pho-dep-kdc-n-6-20m-1-tret-3-lau-dep-hong-gia-18-ty-lh-0937-777-279-pr37639517,72.0,1,1,0
37823400,252.0,14500.0,1.0,3.0,4.0,12.0,1,0,quan-2,106.7644405,10.7876091,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-duy-trinh-phuong-binh-trung-tay/ban-quan-2-khu-compound-cong-vien-song-4-sieu-thi-dac-biet-ngang-14m-o-to-dau-truoc-pr37823400,54.0,1,0,0
36923053,100.0,16500.0,4.0,4.0,,,0,0,binh-chanh,106.689018249512,10.7300539016724,https://batdongsan.com.vn/ban-nha-rieng-xa-binh-hung-1-prj-khu-dan-cu-trung-son/ban-pho-dep-kdc-6-20-1-tret-3-lau-dep-so-hong-gia-19-5-ty-lh-0937777279-pr36923053,72.0,0,0,1
39852558,56.0,7100.0,2.0,3.0,2.0,4.0,1,1,quan-7,106.710149,10.7429863,https://batdongsan.com.vn/ban-nha-rieng-duong-10-phuong-tan-quy/-vuon-dieu-56m2-2-lau-cach-so-10-50m-gia-7-1ty-pr39852558,59.0,1,0,0
39797288,40.0,2580.0,4.0,4.0,3.0,5.0,1,1,binh-tan,106.5919493,10.7982629,https://batdongsan.com.vn/ban-nha-rieng-duong-lien-khu-4-5-phuong-binh-hung-hoa-b/-moi-40m2-4-tam-hxh-so-chinh-chu-2-ty-580-thuong-luong-pr39797288,65.0,1,0,0
38607334,300.0,13000.0,5.0,14.0,14.0,4.5,1,1,binh-thanh,106.7108591,10.7979349,https://batdongsan.com.vn/ban-nha-rieng-duong-xo-viet-nghe-tinh-phuong-21/can-ban-gap-can-pho-d-xvnt-f21-bt-dt-4-5-18-5-nh-6-6m-4-lau-lh-phuong-pr38607334,66.0,0,0,0
39852743,35.0,2680.0,4.0,4.0,3.0,,1,1,binh-tan,106.5905848,10.7936373,https://batdongsan.com.vn/ban-nha-rieng-duong-so-6-phuong-binh-hung-hoa-b/an-moi-2-lau-4-pn-san-thuong-4x9m-hxh-o-hh-tan-gia-2-ty-680-tl-pr39852743,65.0,0,0,0
39852546,90.8,15500.0,5.0,,,5.0,0,1,tan-binh,106.648588877874,10.7976032918276,https://batdongsan.com.vn/ban-nha-rieng-duong-vo-thanh-trang-phuong-11-10/ban-gap-can-p11-q-tan-binh-dt-5x20-90-8m2-moi-o-lien-gia-15ty5-tl-pr39852546,69.0,1,1,0
39851871,130.0,16000.0,5.0,,,6.5,0,0,tan-binh,106.6729415,10.8150439,https://batdongsan.com.vn/ban-nha-rieng-duong-bach-dang-phuong-2-22/hem-xe-hoi-tan-binh-dt-6-5m-x-30m-cong-nhan-188m2-gia-ban-16-ty-thong-tin-that-100-pr39851871,69.0,0,0,0
39720119,58.5,,3.0,3.0,3.0,4.5,1,1,phu-nhuan,106.669183,10.7940173,https://batdongsan.com.vn/ban-nha-rieng-duong-dang-van-ngu-phuong-10-9/sos-ban-gap-sieu-pham-so-mat-tien-p10-phu-n-dien-tich-58-5-m2-gia-3-ty-pr39720119,68.0,0,1,0
39852603,96.0,8000.0,4.0,4.0,5.0,,1,1,nha-be,106.753852844238,10.6782360076904,https://batdongsan.com.vn/ban-nha-rieng-duong-huynh-tan-phat-xa-phu-xuan-prj-green-riverside/chuyen-gap-can-ra-sieu-pham-pho-hien-dai-3-tang-6x16m-co-sh-hoan-cong-pr39852603,76.0,0,0,0
39848418,70.0,,1.0,4.0,2.0,5.4,0,0,binh-tan,106.5990165,10.7595825,https://batdongsan.com.vn/ban-nha-rieng-duong-le-dinh-can-phuong-tan-tao/ban-ngay-70m2-tien-xay-moi-hoac-cho-thue-dau-tu-giu-tien-pr39848418,65.0,1,1,0
39851577,60.0,2900.0,2.0,2.0,2.0,4.0,1,1,thu-duc,106.7553965,10.8471328,https://batdongsan.com.vn/ban-nha-rieng-duong-ho-van-tu-phuong-truong-tho-2/-sat-cho-thu-duc-60m2-2g-2pn-2wc-so-chi-nhinh-2-ty-con-tl-pr39851577,71.0,1,0,0
39827364,30.0,4250.0,2.0,2.0,2.0,,1,1,binh-thanh,106.6952001,10.8159197,https://batdongsan.com.vn/ban-nha-rieng-duong-phan-van-tri-phuong-11-7/-ban-full-noi-that-moi-dep-3x10m-2pn-2wc-4-25-ty-goi-hang-pr39827364,66.0,0,0,0
39830129,64.0,8000.0,4.0,7.0,7.0,,1,1,tan-binh,106.642192,10.784533,https://batdongsan.com.vn/ban-nha-rieng-duong-au-co-phuong-9-13/hem-5m-kdc-noi-bo-64m2-4x16m-5-tang-btct-7-phong-ngu-9-quan-tan-phu-pr39830129,69.0,0,0,0
39398752,224.0,10000.0,,5.0,5.0,,1,1,binh-tan,106.6125848,10.7582535,https://batdongsan.com.vn/ban-nha-rieng-duong-tinh-lo-10-phuong-binh-tri-dong-b/chinh-chu-can-an-gap-can-goc-2mt-hem-575-10-f-dt-6-5x34m-no-hau-6-7-pr39398752,65.0,0,0,0
39852236,140.0,18300.0,4.0,7.0,7.0,8.0,1,1,quan-7,106.7358616,10.7402653,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-van-quy-phuong-phu-thuan-3/ban-lo-goc-kinh-doanh-hem-xe-hoi-8m-quan-7-140m2-4-tang-chi-nhinh-18-ty-pr39852236,59.0,1,1,0
38872153,76.0,9800.0,4.0,,,,1,1,tan-phu,106.6391373,10.7756665,https://batdongsan.com.vn/ban-nha-rieng-duong-khuong-viet-phuong-phu-trung/9-5-ty-xe-hoi-gan-dam-sen-tan-giap-q11-5m-x-27m-no-hau-pr38872153,70.0,0,0,0
39852347,74.0,7250.0,2.0,2.0,1.0,4.0,1,1,tan-phu,106.6349355,10.778093,https://batdongsan.com.vn/ban-nha-rieng-duong-luy-ban-bich-phuong-hoa-thanh/-cu-p-t-phu-nhua-6m-sat-mt-74m2-4mx19m-7-25-ty-pr39852347,70.0,0,0,0
